title,category,spec,price
Open Well Submersible Pump 5 HP Crompton,"Open Well Submersible Pump,Crompton Submersible Pumps",,27830
"Corrugated Tile Protection Sheet, Thickness: 2 mm","Floor Protection Sheet,Floor Guard","Length==6 ft,Color==Gray,Size==Large,Thickness==2 mm,Pattern==Corrugated,Usage/Application==Tile protection sheet",2.5
"18 mm Blue PP Plastic Rope, 220 m",Polypropylene Rope,"Length==220 m,Color==Blue,Filament Type==Multifilament,Rope Type==Twisted,Strand Structure==3 Ply,Raw Material==Virgin Polypropylene,Rope Shape==Round,Packaging Type==Bundle,Size==18 mm",125
"Gray Polypropylene Corrugated Tile Protection Sheet, Size: Medium",Floor Protection Sheet,"Thickness==4 mm,Length==6 ft,Pattern==Corrugated,Material==Polypropylene,Color==Gray,Size==Medium,Mat Size==6*4,Country of Origin==Made in India",2.5
Open well Submersible 1.5 HP 1 Ph CROMPTON,"Open Well Submersible Pump,Crompton Submersible Pumps",,19900
Vertical Open well Submersible Pump 5 Hp DECCAN EKKI,"Open Well Submersible Pump,Vertical Openwell Submersible Pump,Deccan Submersible Pumps",,47800
"Single Phase Horizontal Openwell Submersible 2 HP 1 Ph CROMPTON, Discharge Outlet Size: 630-120 Lpm 6-24 M","Open Well Submersible Pump,Horizontal Submersible Pump","Motor Phase/Stage==Single Phase,Brand==MULTI BRAND,Country of Origin==Made in India,Motor Power==2 HP,Motor Phase==Single Phase,Type==Horizontal,Discharge Outlet Size==630-120 LPM 6-24 M",22077
"Mild Steel 6 Shelves Wall Mounted Glass Display Rack, 7 feet","Slotted Angle Racks,Wall Display Racks","Height (In Feet)==7 feet,Material==Mild Steel,No. Of Shelves==6 Shelves,Usage/Application==Showroom,Rack Type==Wall Mounted,Weight Tolerance Capacity==50 Kg,Length (In Feet)==3 feet,Depth (In Inches)==18 inch,Country of Origin==Made in India",4000
"Mild Steel Green E Rickshaw Fast Food Cart, Load Capacity: 500 kg",Food Cart,"Battery Charging Time==4 Hours,Power Source==Electric,Country of Origin==Made in India,Load Capacity==500 kg,Color==Green,Material==Mild Steel",95000
Uv Marble Sheets,PVC Marble Sheet,Surface Finish==wall,2600
10 Litre Jerry Can,"Plastic Jerry Cans,Jerry Can","Storage Capacity(L)==10 L,Material==HDPE,Storage Material==Chemical,Color==White,Thickness==3 mm,Shape==Round,Using==Industrial,Warranty==1 Year,Country of Origin==Made in India",65
"Mild Steel Food Cart, Load Capacity: 500 kg",Food Cart,"Load Capacity==500 kg,Material==Mild Steel",255000
Brown Food Cart,Food Cart,"Material==Mild Steel,Battery Charging Time==4 Hours,Power Source==Electric,Brand==Prince EV,Capacity==700 kg,Input Voltage==220 V AC",120000
"Chinese Food Cart, Load Capacity: 500 kg",Food Cart,"Color==Black,Material==Mild Steel,Vehicle Model==Electric E Rickshaw,Battery Charging Time==8 Hours,Power Source==Battery With Motor Controller,Country of Origin==Made in India,Load Capacity==500 kg",45000
"Stainless Steel Blue E Rickshaw Food Cart chole bhature, Load Capacity: 500 kg",Food Cart,"Battery Charging Time==7 Hours,Power Source==Electric,Country of Origin==Made in India,Load Capacity==500 kg,Color==Blue,Material==Stainless Steel",150000
"Wood Pizza cart, Load Capacity: 500 kg",Food Cart,"Load Capacity==500 kg,Material==Wood",185000
"Stainless Steel Food Cart, Load Capacity: 500 kg",Food Cart,"Load Capacity==500 kg,Material==Stainless Steel",200000
Mdf Printed Fridge Magnets,Fridge Magnet,"Applications==Fridge Magnet,Applications==Home Decor,Brand==The Gifts Factory,Colour==Multicolor,Material==MDF,Usage==Fridge",199
"PARKER Hydraulic Gear Pump, 3 HP",Hydraulic Gear Pump,"Brand==PARKER,Motor Horsepower==3 HP,Motor Speed==3000 RPM,Maximum Pressure==250bar,Frequency==50Hz,Voltage==320V,Usage/Application==Industrial,Material==Cast Iron Gear Pump\,Aluminium Gear Pump,I Deal In==New Only,Country of Origin==Made in India",25000
"Polished Stainless Steel Party Tub, 15 L","Stainless Steel Drums,Stainless Steel Buckets,Stainless Steel Party Tub","Capacity==15 L,Material==SS,Finishing==Polished,Color==Silver,Brand==Rajkamal,Country of Origin==Made in India",207
"Mild Steel Food Cart For Pizza, Load Capacity: 500 kg",Food Cart,"Front Suspension==Grow business,Vehicle Model==2025,5feet hoght\, weight 320kg\,size6*4==Ev cart essay moveable one charging 3-4hours then60-70 km,Load Capacity==500 kg,Material==Mild Steel",182000
"Stainless Steel Food Cart For Pizza, Load Capacity: 500 kg",Food Cart,"Vehicle Model==2025,We are Engaged in offering a wide range of food cart trailer to our clients. Our range of all Products is widely appreciated by our clients.==Finance facility is available.,Load Capacity==500 kg,Material==Stainless Steel",200000
"Stainless Steel Food Cart, Load Capacity: 500 kg",Food Cart,"Front Suspension==Colour white,Vehicle Model==2025,6feet\,350kg weight size6*4==Ev cart moveable,Load Capacity==500 kg,Material==Stainless Steel",200000
"Aluminium Fast Food Cart, Load Capacity: 500 kg",Food Cart,"Load Capacity==500 kg,Material==Aluminium",181000
"Stainless Steel Ev Food Cart, Load Capacity: 500 kg",Food Cart,"6feet\, weight 350kg\,size6*4==0 maintenance,Load Capacity==500 kg,Material==Stainless Steel",199999
"Mild Steel Multicolor Food Cart Counter, Load Capacity: 500 kg",Food Cart,"Vehicle Model==Electric Vehicle,Battery Charging Time==4 Hours,Power Source==Electric,Country of Origin==Made in India,Load Capacity==500 kg,Material==Mild Steel",80000
Food Cart On E Rickshaw,Food Cart,"Material==Stainless Steel,Battery Charging Time==4 Hour,Power Source==Electric,Front Suspension==Hydraulic,Brand==Prince EV,Capacity==700 kg,Country of Origin==Made in India",110000
"Polished Transparent 1mm Acrylic PS Sheet, Size: 4x6 ft",Acrylic Sheet,"Usage/Application==Photo frem,Thickness==1 mm,Size==4x6 ft,Finish==Polished,Color==Transparent",480
"Glossy Colourful Acrylic Sheet, Size: 4x8 ft, Thickness: 2 mm",Acrylic Sheet,"Usage/Application==Sign Bored,Thickness==2 mm,Size==4x8 ft,Finish==Glossy",3250
"Green PP (Polypropylene) Plastic Sutli Zen, 10 m, 1-4 mm",Plastic Twine,"Diameter==1-4 mm,Filament Type==Monofilament,Twine Type==Knitted,Material==PP (Polypropylene),Color==Green,Length==10 m",85
Laxmi Open Well Submersible Pump,"Open Well Submersible Pump,Submersible Pump","Power==1 hp,Motor Phase==Three Phase,Voltage==240V,Frequency==50Hz,Brand==Laxmi",12500
"Gray Polypropylene Tile Protection Sheet Floor Guard, Size: Large","Floor Protection Sheet,Floor Guard,Bubble Guard Sheet","Thickness==6 mm,Length==5 ft,Pattern==Bubbel,Usage/Application==floor protection,Color==Gray,Material==Polypropylene,Size==Large",2.5
"78x36x17 Gray Slotted Angle Rack, For Multipurpose, 50 Kg On Each Shelf",Slotted Angle Racks,"Usage/Application==Multipurpose,Color==Gray,Product Type==Slotted Angle Rack,Height==78X36X17,Design==Modern,Surface Treatment==Paint Coated,Size==78X36X17,Storage Capacity==50 Kg on each shelf",2800
black Polypropylene Floor Guard Pp Protection Sheet,"Floor Protection Sheet,Floor Guard,Bubble Guard Sheet","Thickness==4 mm,Length==5 ft,Pattern==Bubbel,Usage/Application==as a safe guard,Country of Origin==Made in India,Color==black,Material==Polypropylene",2.5
"Gray Polypropylene Floor Tile Protection Sheet, Size: Medium","Floor Protection Sheet,Floor Guard,Bubble Guard Sheet","Thickness==4 mm,Pattern==Bubbel,Length==5 ft,Usage/Application==floor guard and as a safe guard,Country of Origin==Made in India,Color==Gray,Material==Polypropylene,Size==Medium",2.5
Bubble Guard Floor Protection Sheets,"Floor Protection Sheet,Bubble Guard Sheet","Thickness==5 mm,Waterproof==YES,Country of Origin==Made in India,Usage/Application==Floor",2.5
"Stainless Steel Two/Three tier Slotted angle rack 6x3, 72 X 36 X 15, Height: 6 Feet",Slotted Angle Racks,"Load Per Layer==50 Kg,Product Type==Two/Three tier,Number of Shelves==5,Material==Stainless Steel,Usage/Application==Warehouse,Height==6 feet,Size==72 x 36 x 15,Storage Capacity==50 kg on each shelf and total 250 kg",2975
"12 mm Toughened Glass, For Office",Toughened Glass,"Thickness==12 mm,Usage/Application==Office",350
WATER TANK / SUMP,"RCC Water Tank,Galvanized Iron (GI) Tank","Storage Capacity==8000 ltrs\, 10000 ltrs\, 12000 ltrs,Wall Thickness==200mm,Material==RCC,Color==cement grey,Brand==Pebbalio concrete products",
"6 mm Toughened Plain Glass, For Office",Toughened Glass,"Brand Name==Vishwakarma Aluminium & Glass,Color==Transparent,Shape==Rectangular,Scratch-Resistant==Yes,Thickness==6 mm,Usage/Application==Office,Glass Type==Sight Glass,Pattern==Plain",480
"Yellow 16 mm PP Plastic Rope, 220 m","Polypropylene Rope,Twisted Rope","Length==220 m,Color==Yellow,Filament Type==Multifilament,Rope Type==Twisted,Strand Structure==3 Ply,Raw Material==Virgin Polypropylene,Packaging Type==Bundle,Size==16 mm",120
Mechanical SLA 3D Printing Service,"3D Prototype Printing Services,SLA 3D Printing","Print Material==Standard Resin,Material==Polyamide (PLA),Service Duration==2-5 Days,Country of Origin==Made in India,Service Type==Mechanical SLA 3D Printing Service",30
"6 Feet Red and white Powdercoated slotted angle rack, 100 kg Per Layer, 72X36X18",Slotted Angle Racks,"Usage/Application==Hospitals medicals showrooms offices,Product Type==Slotted Angle Rack,Design==Modern,Surface Treatment==Powder Coated,Color==Red and white,Height==6 feet,Size==72X36X18,Storage Capacity==100 kg per layer",3500
"6 Shelves Slotted Angle Iron Rack, 100 Kg",Slotted Angle Racks,"Usage/Application==Warehouse,Size==99""x17""x36"",Surface Finish==powder coated,Brand==mg chairs,Max Load Capacity Per Layer==100 Kg,No. of Shelves==6 Shelves",3920
Horizontal Power: 0.5 hp Open Well Submersible Pump,Open Well Submersible Pump,"Motor Phase==Single Phase,Country of Origin==Made in India,Power==0.5 hp,Type==Horizontal",9500
"Single Phase Open Well Submersible Pump, 1 HP",Open Well Submersible Pump,"Power==1 HP,Material==Stainless Steel,Motor Horsepower==1 HP,Motor Speed==2800 RPM,Country of Origin==Made in India,Motor Phase==Single Phase",10500
Pvc Marble Sheet,PVC Marble Sheet,"Thickness==3 mm,Length==8 Feet,Size==8x4 Feet,Usage/Application==Industrial \, Commercial \, packaging \, Home,Color==Multicolor,Material==PVC,Country of Origin==Made in India",2500
Stainless Steel Angle Frame Slotted Angles Racks,Slotted Angle Racks,"Load Per Layer==100 Kg,Usage/Application==Office,Product Type==Angle Frame,Material==Stainless Steel",5000
"Gray Polypropylene Tile Floor Protection Sheet, Size: Medium","Floor Protection Sheet,Floor Guard,Bubble Guard Sheet","Thickness==6 mm,Pattern==Bubbel,Length==6 ft,Usage/Application==floor protection\, safe guard,Country of Origin==Made in India,Color==Gray,Material==Polypropylene,Size==Medium",2.5
"Gray Polypropylene Floor Guard Tiles Protection Sheet Roll, Size: Medium","Floor Protection Sheet,Floor Guard,Bubble Guard Sheet","Thickness==6 mm,Pattern==Bubbel,Length==5 ft,Country of Origin==Made in India,Color==Gray,Material==Polypropylene,Size==Medium,Usage/Application==floor guard",2.5
"Black Polypropylene Floor Guard Pp Sheet, Size: Medium","Floor Protection Sheet,Floor Guard,Bubble Guard Sheet","Thickness==4 mm,Length==5 ft,Pattern==Bubbel,Usage/Application==as a safe guard,Country of Origin==Made in India,Material==Polypropylene,Size==Medium",2.5
"Gray Polypropylene Floor And Tiles Protection Sheet, Size: Medium","Floor Protection Sheet,Floor Guard","Thickness==4 mm,Pattern==Bubbel,Length==6 ft,Usage/Application==as a safe guard,Country of Origin==Made in India,Color==Gray,Material==Polypropylene,Size==Medium",2.5
"Rcc Precast Oil Tank, 1000 - 5000 L",RCC Water Tank,Storage Capacity==1000 - 5000 L,
"Grey Painted Gray Slotted Angle Iron Rack, For Office, Height: 8.25 Feet","Slotted Angle Racks,Frame Rack","Product Type==Angle Frame,Material==Stainless Steel,Usage/Application==Office,Surface Treatment==grey painted,Color==Gray,Height==8.25 feet,Size==17X36 shelf,Storage Capacity==60 KG",2500
Kluber Lubricants Grease,Kluber Grease,"Packaging Size==Bottle of 1 kg,Model Name/Number==ISOFLEX NBU 15,Weight==1,Usage/Application==SPINDLE BEARING,Country of Origin==Made in India,Form==GREASE",15000
"Multicolor Acrylic Plastic Sheets, For industrial pupose",Acrylic Sheet,"Type==HDPE Sheet,Size==4x8ft,Product Type==plastics sheets,Color==Multicolor,Material==Plastic,Usage/Application==industrial pupose",300
Elastosil SP 6140 ( 5 KG),Liquid Silicone Rubber,"Packaging Size==200 KG,Brand==Wacker,Colour==Transparent,Quality==100%,Grade Standard==SP 6140",1500
Slotted Angle Shelving for Commercial,Slotted Angle Racks,"Load Per Layer==100 Kg,Usage/Application==Industrial\,Commercial",
"Iron Slotted Angle Rack, Height: 4 Feet","Slotted Angle Racks,MS Slotted Angle Racks","Load Per Layer==50 Kg,Type==Angle Frame,Number of Shelves==4,Usage/Application==Supermarket,Height==4 Feet,Rust Proof==Yes,Finish Type==Color Coated,Corrosion Resistance==Yes,Shape==Rectangular,Rack Material==Iron",2999
"Pollykeb water tank, 1000 Litre",Water Storage Tanks,"Material==PVC,Layer==2,Usage/Application==Home,Storage Capacity==1000 Litre",5500
Mild Steel Electric Motor Stamping Manufacturers,Motor Stampings,"Size/Diameter==10 mm,Usage/Application==Electrical Motor Industry,I Deal In==New Only,Country of Origin==Made in India,Material==Mild Steel",
"6.50 Feet MS Table Type Slotted Angle Rack, For Warehouse","Slotted Angle Racks,Frame Rack","Material==MS,Type==Angle Frame,Product Type==Angle Frame,Usage/Application==Warehouse,Usage==Hospitals\,Offices,Height==6.50 Feet,Load per Layer==0-50 kg,Finishing==Color Coated",4500
"8 Feet Slotted Angle Racks, For Warehouse","Slotted Angle Racks,Frame Rack,Bin Racks","Material==Plastic,Product Type==Angle Frame,Material==Iron,Usage/Application==Warehouse,Usage==Warehouse,Height==8 Feet,Color==White,Size==12x36x98 Inch",21000
PET Plastic Wire Mesh,"PET Wires,Plastic Wire Mesh","Thickness==12 Gauge (2.68 mm),Type==Agricultural Wire,Opening Size==1/4 Inch,Mesh Number Size==10,Color==Green,Country of Origin==Made in India,Material==PET",120
"Ultra roof Sandwich Puf Wall Panels, For Cold Storage, 30-50mm","PUF Sandwich Panel,PUF Insulated Wall Panel,PUF Insulated Panels","Thickness==30-50mm,Usage/Application==Cold Storage,Brand==Ultra roof,Color==White,Size==3.5",925
"1000 L POLLYKEB LOFT WATER TANK, Manhole Diameter: 201-400 mm",Loft Tank,"Material==PE,Manhole Diameter==201-400 mm,Color==White,Storage Capacity==1000 L",5500
2000L Reno Overhead Water Storage Tank,Water Storage Tanks,"Material==LDPE,Layer==2,Usage/Application==Home,Product Color==Blue,Shape==Round,Storage Capacity==2000 Litre,Brand==Reno",10800
2000 L Plastic Overhead Water Storage Tank,Water Storage Tanks,"Usage/Application==Industrial,Layer==6 Layer,material==PVC,Brand==Reno,Shape==Round,Product Color==Blue,Storage Capacity==2000 L",10000
1000L Reno Overhead Water Storage Tanks,Water Storage Tanks,"Layer==6,Material==HDPE,Usage/Application==Industrial,Color==Blue,Shape==Round,Storage Capacity==5000 L,Brand==Reno",5400
5 ft Slotted Angle Rack,MS Slotted Angle Racks,"Surface Treatment==Color Coated,Corrosion Resistant==Yes,Surface Finish==Polished,Rust Proof==Yes,Shape==Rectangular,Thickness==10mm,Corrosion Resistance==Yes,Rack Material==MS,Height==5 ft,Number of Shelves==6,Product Type==Slotted Angle Rack",2999
Elastosil RT 622 A/B,Liquid Silicone Rubber,"Grade Standard==Elastosil RT 622 AB,Brand==Wacker,Colour==Reddish Brown,Quality==100%,Packaging Size==30 Kgs,Color==Redish Brown",5000
"Black Polyester Animal Sheet, For Home, Size: Single","Cow Mat,Rubber Sheets","I Deal In==New Only,Material==Polyester,Usage/Application==Home,Size==Single,Color==Black",2300
RTV 2 Mold Making Silicone Rubber Concrete Casting : Elastosil M 4630 A/B,Liquid Silicone Rubber,"Packaging Size==33 kg,Color==Translucent,Catalyst Type==Platinum,Brand==Wacker,Grade Standard==General Grade,Usage/Application==Mould Making,Curing Time==12 hrs,Hardness(Shore A)==28,Mixed Viscosity==10000 m pas,Mixing Ratio==10:1,quality==100%",1600
Elastosil Sp 6140 ( Bucket ),Liquid Silicone Rubber,"Packaging Size==200 kg Barrel,Color==transparent,Brand==Wacker,QUALITY==100%,Grade Standard==SP 6140",1500
"80 GSM Leno Weave Fiberglass Mesh Roll, Alkali Resistant, For Marble & Wall Reinforcement",Fiberglass Mesh,"Usage/Application==Marble Reinforcement,Color==White,Width==1700mm,Brand==Montex,Roll Length==50m (Flexible),Thickness==0.15mm,Material==Fibreglass,Weave Type==Leno,GSM==80 GSM",28
Groz V25/3R/SPL/F Rotary Barrel Pump,Rotary Barrel Pumps,"Max Flow Rate==50LPM,Pump Inlet==1 inch,Warranty==15 Days Replacement Warranty On Manufacturing Defects,Brand==Groz,Item Code==V25/3R/SPL/F,Product Type==Barrel Pumps",2010
"MS Open Type Slotted Angle Rack, For Warehouse","MS Slotted Angle Racks,Industrial Storage Rack","Material==MS,Load per Layer==0-50 kg,Finishing==Color Coated,Usage==Warehouse,Size==15x36x78 Inch",2750
"Fuluted Marble UV Sheet, 3 mm",PVC Marble Sheet,"Size==8x4 Feet,Usage/Application==Commercial,Length==8 Feet,Material==PVC,Fully Flexible and Durable==Long Lasting,Country of Origin==Made in India,Thickness==3 mm",2800
"4mm Coffee Polyester Rope, For Hand Bag",Polyester Rope,"Color==Coffee,Usage/Application==Hand Bag,Diameter==4mm,Is It Reusable==Reusable,Material==Polyester,Country of Origin==Made in India",150
4mm White Polyester Rope,Polyester Rope,"Color==White,Usage/Application==Hand Bag,Diameter==4mm,Design==Plain,Is It Reusable==Reusable,Material==Polyester,Country of Origin==Made in India",110
2.4mm PVC Marble Sheet,PVC Marble Sheet,,2500
800 GSM White Plain Fiberglass Mesh,Fiberglass Mesh,"Usage/Application==Plastering,Type Of Fibre==E Type,Brand==Montex,Pattern==Plain,Color==White,Material==Fiberglass,GSM==800 GSM",12
"kamala Color Coated Puf Sandwich Panel, Thickness (in mm): 30 mm, 30-50mm","PUF Sandwich Panel,Sandwich Panels","Usage/Application==Roofing,Color==as per customer requried,Sheet Thickness==50-200 mm thick,Thickness==30-50mm,Thickness (in mm)==30 mm,Brand==kamala,Surface Treatment==Color Coated,Material==PUF",1000
